"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000198901",744.768135087352,-3.17650241716873,0.0919186947590466,-34.5577406804518,1.09060247559341e-261,3.14899610452863e-259,"9055","9055","9055"
"ENSG00000197321",4211.22514661471,1.7327545203008,0.0508560370845128,34.071756661285,1.93323143104573e-254,5.46322975896796e-252,"6840","6840","6840"
"ENSG00000146072",1758.22981855472,2.05909371226215,0.0613453350977011,33.5656119407083,5.32912161889391e-247,1.47461236129477e-244,"27242","27242","27242"
"ENSG00000277443",2830.20102519863,-1.92967363523292,0.0577209810245974,-33.431060958763,4.8513636326397e-245,1.31501656670858e-242,"4082","4082","4082"
"ENSG00000182752",6930.41939676306,2.01475438924008,0.0602926219426112,33.4162676016612,7.95777820238248e-245,2.11390420168088e-242,"5069","5069","5069"
"ENSG00000140943",1848.88777327798,-1.8936336328845,0.0567427653814668,-33.3722479007516,3.46560012636555e-244,9.02550997615435e-242,"8720","8720","8720"
"ENSG00000081923",1549.06690179341,-2.52988351795392,0.0760804523028847,-33.2527402424236,1.86338518900663e-242,4.75951578468964e-240,"5205","5205","5205"
"ENSG00000145632",3262.15452178144,1.54678846223669,0.0469005474936566,32.9801792280974,1.56287300220958e-238,3.91661871987692e-236,"10769","10769","10769"
"ENSG00000102024",3591.26703399212,-1.70351343464684,0.0519797596611788,-32.7726300727611,1.44562526561386e-235,3.55570273664506e-233,"5358","5358","5358"
"ENSG00000163346",2917.79069939981,1.81053704413151,0.0554644268771401,32.6432119841795,1.00031784674544e-233,2.41567666190416e-231,"57326","57326","57326"
"ENSG00000187678",2363.67043987816,1.72412663300863,0.052827125798165,32.6371462948022,1.21955796819696e-233,2.89253016671286e-231,"81848","81848","81848"
"ENSG00000104321",7567.20986030083,3.29744633697212,0.101231296318792,32.5733884369905,9.76966579469497e-233,2.27650352780945e-230,"8989","8989","8989"
"ENSG00000135046",4581.91768778281,-1.46396101497729,0.0451014989282926,-32.4592541215727,4.01020995901507e-231,9.18338080614452e-229,"301","301","301"
"ENSG00000143341",2279.33849385387,2.05717871890422,0.0635444761889053,32.3738402184421,6.40905748477743e-230,1.44279833072566e-227,"83872","83872","83872"
"ENSG00000168542",62749.3849250663,1.40988123640543,0.0436394038325593,32.3075274312873,5.48366983679904e-229,1.21390171287275e-226,"1281","1281","1281"
"ENSG00000163017",4893.9021785664,-1.87090411942149,0.0580530421342974,-32.2274949018765,7.2726122073977e-228,1.58352189079764e-225,"72","72","72"
"ENSG00000152894",4900.8667898464,1.68610856015152,0.0526456276770063,32.0275136711486,4.51529596808308e-225,9.67292920130314e-223,"5796","5796","5796"
